disp_id,client_id,account_id,branch_district_id,frequency,creation,num_clients,account_age,client_district_id,sex,birthdate,age,card_type,card_issue,num_salaries,average_salary,recent_balance,household_payments,payment_for_statement_counter,insurrance_payments,sanction_payment_counter,old_age_pensions,month_balance,3_month_balance,6_month_balance,12_month_balance
2181,2181,1801,46,monthly issuance,1993-02-13,1,3,46,Male,1968-07-22,28,,,4.0,12876.500000000002,52208.9,2.0,3.0,3.0,0.0,0.0,31481.0,89045.8,,
2195,2195,1811,40,monthly issuance,1993-09-22,1,3,68,Female,1942-09-13,54,,,8.0,1499.4500000000007,36240.6,4.0,4.0,0.0,0.0,0.0,41860.3,64499.2,69748.2,
2235,2235,1843,12,monthly issuance,1993-01-30,1,3,14,Female,1940-04-20,56,,,6.0,5548.783333333333,34292.7,2.0,2.0,0.0,0.0,0.0,39291.2,49462.7,1000.0,
2259,2259,1862,19,weekly issuance,1995-04-15,1,1,19,Female,1950-01-02,46,,,18.0,4895.0055555555555,88610.1,0.0,13.0,0.0,0.0,0.0,45636.9,68252.4,59527.9,101710.8
2288,2288,1886,32,monthly issuance,1996-03-05,2,0,32,Female,1957-08-23,39,,,4.0,11715.7,74638.8,0.0,0.0,0.0,0.0,0.0,83546.0,53822.9,,
2392,2392,1967,26,weekly issuance,1995-02-13,1,1,26,Male,1955-05-21,41,,,14.0,3894.7499999999995,55426.5,6.0,6.0,0.0,0.0,0.0,12750.3,18721.3,69565.4,44641.7
2403,2403,1978,57,weekly issuance,1993-06-11,1,3,1,Female,1963-01-25,33,,,17.0,1146.1176470588236,54586.0,13.0,13.0,13.0,0.0,0.0,65189.2,63528.0,53755.5,40818.4
2422,2422,1993,68,monthly issuance,1994-10-30,1,2,68,Female,1976-06-09,20,,,5.0,4629.219999999999,23946.1,0.0,0.0,0.0,0.0,0.0,27698.4,35442.2,,
2501,2501,2062,70,monthly issuance,1996-03-06,1,0,70,Female,1940-12-04,56,,,7.0,-548.4571428571425,39660.8,3.0,3.0,0.0,0.0,0.0,57795.3,98394.5,75150.2,
2550,2550,2106,1,monthly issuance,1996-02-01,1,0,1,Female,1976-10-12,20,,,8.0,2041.9250000000002,16735.4,4.0,4.0,0.0,0.0,0.0,18705.5,39064.2,24614.6,
2592,2592,2143,1,monthly issuance,1996-01-13,2,0,1,Female,1980-08-31,16,,,7.0,6994.785714285715,49663.5,3.0,3.0,0.0,0.0,0.0,56163.4,61134.1,34530.1,
2606,2606,2153,31,weekly issuance,1996-01-07,1,0,31,Male,1943-01-04,53,,,10.0,-1092.5900000000008,20051.1,7.0,6.0,6.0,0.0,0.0,10388.1,28637.3,38023.9,
2623,2623,2167,16,monthly issuance,1993-08-08,1,3,16,Female,1965-07-16,31,,,14.0,3078.7714285714287,43302.8,10.0,9.0,0.0,0.0,0.0,46303.0,46609.0,24758.7,39419.9
2635,2635,2176,67,monthly issuance,1993-06-06,1,3,67,Female,1966-12-10,30,,,13.0,-1316.8076923076924,19448.5,12.0,11.0,0.0,0.0,0.0,33009.1,62730.5,21447.2,71267.2
2686,2686,2218,19,monthly issuance,1994-11-21,2,2,19,Female,1951-03-24,45,,,12.0,3178.9583333333335,38747.5,0.0,7.0,0.0,0.0,0.0,72842.3,61169.4,37464.0,
2698,2698,2227,31,weekly issuance,1994-05-22,2,2,31,Female,1970-10-07,26,,,18.0,1179.5444444444447,21531.8,11.0,11.0,0.0,0.0,0.0,73092.7,55623.6,36802.8,49788.8
2700,2700,2228,34,monthly issuance,1994-03-19,1,2,34,Male,1945-02-22,51,,,12.0,6807.099999999999,82385.2,1.0,0.0,0.0,0.0,0.0,58663.0,35746.9,37778.4,700.0
2708,2708,2236,73,monthly issuance,1995-08-27,1,1,73,Male,1958-08-12,38,,,12.0,2325.733333333333,65062.8,0.0,0.0,0.0,0.0,0.0,26198.5,40065.9,52337.4,37154.0
2719,2719,2245,29,monthly issuance,1993-03-30,1,3,29,Female,1964-10-30,32,,,21.0,2726.0142857142864,57546.3,0.0,14.0,0.0,0.0,0.0,32155.5,38375.1,42654.2,25168.3
2746,2746,2268,1,monthly issuance,1995-02-11,1,1,1,Male,1971-02-25,25,,,17.0,3852.0352941176475,65684.6,13.0,12.0,0.0,0.0,0.0,77158.8,62799.2,65731.2,44048.2
2809,2809,2322,33,monthly issuance,1995-01-02,1,1,33,Male,1979-02-14,17,,,17.0,-541.0705882352935,26652.7,16.0,16.0,16.0,0.0,0.0,13766.4,57639.7,106265.5,70480.9
2831,2831,2343,68,monthly issuance,1994-12-09,1,2,68,Female,1980-07-09,16,,,10.0,3052.41,30824.1,6.0,6.0,0.0,0.0,0.0,27187.5,22254.6,35324.0,
2834,2834,2345,5,monthly issuance,1993-10-25,1,3,52,Male,1949-05-23,47,,,13.0,1495.276923076923,19938.6,9.0,9.0,0.0,0.0,0.0,30431.9,32662.1,27232.2,20769.0
2843,2843,2352,70,monthly issuance,1995-01-21,1,1,70,Female,1966-10-06,30,,,14.0,1747.8285714285714,45021.6,11.0,10.0,10.0,0.0,0.0,45140.6,56037.3,57948.8,53489.8
2853,2853,2361,28,monthly issuance,1994-02-25,1,2,28,Female,1956-04-25,40,,,13.0,1751.6538461538462,23271.5,8.0,9.0,0.0,0.0,0.0,21799.0,27479.3,23997.3,16720.0
2922,2922,2419,24,monthly issuance,1993-11-27,1,3,43,Male,1940-09-07,56,,,14.0,4473.028571428571,72500.4,0.0,10.0,0.0,0.0,0.0,53207.5,35852.8,87673.4,48400.8
2966,2966,2456,65,monthly issuance,1995-09-09,1,1,65,Male,1955-02-20,41,,,7.0,3101.0571428571443,47431.4,3.0,3.0,0.0,0.0,0.0,45881.0,82077.5,52008.7,
3001,3001,2486,1,monthly issuance,1993-02-27,1,3,1,Male,1958-10-07,38,,,10.0,7845.62,78656.2,0.0,8.0,0.0,0.0,0.0,78679.5,22652.5,39356.2,
3013,3013,2496,51,monthly issuance,1994-05-21,2,2,51,Female,1950-03-18,46,,,19.0,549.2315789473685,22745.4,15.0,15.0,0.0,0.0,0.0,15128.8,33237.6,30964.0,9744.7
3103,3103,2572,64,issuance after transaction,1994-11-13,1,2,64,Female,1973-03-07,23,,,19.0,3377.115789473684,64765.2,0.0,14.0,0.0,6.0,0.0,79746.9,49549.1,43472.0,92535.3
3113,3113,2580,60,monthly issuance,1995-11-09,2,1,60,Female,1971-11-12,25,,,8.0,3682.9249999999997,41537.2,5.0,5.0,0.0,0.0,0.0,49195.4,40636.1,42507.8,
3251,3251,2694,7,monthly issuance,1993-03-08,2,3,52,Female,1962-12-28,34,,,11.0,1338.436363636364,33061.9,8.0,8.0,0.0,0.0,0.0,32657.2,38350.0,47169.6,
3264,3264,2705,63,issuance after transaction,1993-07-05,1,3,63,Female,1950-10-20,46,,,4.0,4604.825000000001,34716.3,0.0,1.0,0.0,0.0,0.0,52378.2,37476.1,,
3335,3335,2762,19,monthly issuance,1993-03-20,1,3,11,Male,1967-02-10,29,,,15.0,-122.80666666666706,52318.9,14.0,14.0,0.0,0.0,0.0,86517.1,47791.4,74524.9,40548.9
3414,3414,2824,11,monthly issuance,1993-10-20,1,3,11,Female,1947-10-17,49,,,8.0,3180.75,41531.0,5.0,4.0,0.0,0.0,0.0,44537.1,42762.6,50138.2,
3519,3519,2912,74,monthly issuance,1994-07-30,1,2,74,Male,1949-12-15,47,,,19.0,1234.1894736842098,24549.6,0.0,13.0,0.0,0.0,0.0,29173.7,62384.8,55646.3,85132.7
3542,3542,2933,10,monthly issuance,1993-06-18,2,3,10,Male,1939-09-02,57,,,10.0,-2940.9399999999996,30009.9,10.0,9.0,0.0,0.0,0.0,42852.6,32057.1,121891.4,
3576,3576,2962,1,monthly issuance,1993-05-30,1,3,1,Female,1939-03-15,57,,,18.0,-566.3166666666665,53922.3,0.0,12.0,0.0,0.0,0.0,49577.6,93831.7,72533.8,94483.8
3616,3616,2994,77,monthly issuance,1996-05-03,1,0,77,Female,1964-04-14,32,,,4.0,10730.575,62891.3,0.0,0.0,0.0,0.0,0.0,60274.4,53326.2,,
3649,3649,3021,10,monthly issuance,1996-04-20,1,0,10,Female,1959-10-25,37,,,7.0,3449.585714285714,24447.1,0.0,3.0,0.0,0.0,0.0,34244.2,40526.7,22086.6,
3670,3670,3037,44,monthly issuance,1994-05-26,1,2,44,Female,1980-09-17,16,,,22.0,482.4545454545461,11614.0,13.0,15.0,0.0,0.0,0.0,3643.2,12406.9,65234.1,53201.9
3687,3687,3050,60,monthly issuance,1993-05-08,2,3,49,Male,1972-02-06,24,classic,1994-02-15,15.0,4226.706666666666,64300.6,11.0,11.0,11.0,0.0,0.0,69564.4,35361.7,25755.7,99061.1
3705,3705,3064,40,monthly issuance,1993-05-23,1,3,1,Female,1965-06-04,31,,,22.0,1403.0545454545456,31867.2,17.0,17.0,0.0,0.0,0.0,29095.9,31273.5,31773.0,16222.1
3730,3730,3084,59,weekly issuance,1996-01-28,1,0,59,Female,1945-08-07,51,,,6.0,-3874.600000000001,13318.4,2.0,2.0,0.0,0.0,0.0,12756.6,80844.2,36566.0,
3763,3763,3112,38,monthly issuance,1994-08-12,2,2,38,Female,1977-08-12,19,,,18.0,2564.544444444445,77580.8,11.0,10.0,0.0,0.0,0.0,91742.7,55943.4,86799.1,43259.3
3767,3767,3115,14,monthly issuance,1996-03-27,2,0,14,Male,1936-09-07,60,,,7.0,2726.6428571428573,51906.5,4.0,3.0,0.0,0.0,0.0,51840.3,89519.3,57657.7,
3829,3829,3166,71,monthly issuance,1993-08-10,1,3,59,Male,1972-03-13,24,,,16.0,826.9187499999998,14230.7,0.0,14.0,0.0,2.0,0.0,13510.0,21192.7,18446.7,37729.1
3855,3855,3189,29,monthly issuance,1995-11-29,1,1,29,Male,1939-03-20,57,,,12.0,1975.9000000000003,59578.8,0.0,6.0,0.0,0.0,0.0,85401.4,72161.8,67330.0,35868.0
3907,3907,3230,1,monthly issuance,1995-03-11,1,1,1,Female,1954-12-09,42,,,18.0,1235.888888888889,22446.0,0.0,9.0,0.0,0.0,0.0,24857.9,91654.5,23734.7,76444.6
4056,4056,3354,63,monthly issuance,1993-11-05,1,3,63,Female,1952-07-26,44,,,7.0,1616.0999999999997,22500.3,3.0,4.0,4.0,0.0,0.0,31521.8,37627.9,32731.3,
4217,4217,3489,9,monthly issuance,1994-12-08,1,2,9,Female,1951-06-25,45,,,7.0,6195.514285714286,44368.6,3.0,3.0,0.0,0.0,0.0,36673.1,37176.6,18464.8,
4352,4352,3608,72,weekly issuance,1994-08-30,1,2,72,Male,1971-07-24,25,,,20.0,-86.625,29371.5,19.0,19.0,0.0,0.0,0.0,31993.1,17741.3,37033.9,17694.4
4377,4377,3629,48,monthly issuance,1993-07-27,1,3,48,Male,1978-01-31,18,,,22.0,831.0136363636361,19182.3,17.0,17.0,17.0,0.0,0.0,24528.4,25815.2,28878.9,28229.7
4428,4428,3674,38,monthly issuance,1993-03-12,1,3,38,Male,1954-03-09,42,,,17.0,3021.6823529411768,64096.3,12.0,13.0,0.0,0.0,0.0,64101.7,51239.7,43580.4,73849.7
4433,4433,3678,1,monthly issuance,1993-03-24,1,3,1,Male,1968-02-22,28,,,22.0,142.06363636363633,12826.4,18.0,18.0,0.0,0.0,0.0,19493.2,22407.8,11787.0,10391.6
4434,4434,3679,64,monthly issuance,1995-08-15,2,1,64,Male,1964-03-29,32,,,11.0,3722.1727272727276,41743.9,6.0,6.0,0.0,0.0,0.0,52157.9,30488.6,38283.1,
4520,4520,3747,1,monthly issuance,1994-05-01,1,2,1,Female,1957-06-28,39,,,8.0,2758.8999999999996,23171.2,4.0,4.0,4.0,0.0,0.0,22675.8,27412.0,29943.2,
4527,4527,3752,1,monthly issuance,1994-11-25,1,2,1,Female,1963-02-04,33,,,4.0,10766.425,43265.7,0.0,0.0,0.0,0.0,0.0,39429.4,25503.5,,
4529,4529,3754,37,weekly issuance,1996-02-19,2,0,37,Male,1976-09-16,20,,,8.0,2857.4750000000004,23759.8,3.0,4.0,4.0,0.0,0.0,26330.5,38991.7,42515.4,
4584,4584,3804,7,monthly issuance,1994-04-07,1,2,7,Female,1949-06-24,47,,,22.0,822.0545454545453,49709.2,18.0,18.0,0.0,0.0,0.0,59492.1,67194.0,64565.9,23093.3
4620,4620,3834,54,monthly issuance,1993-01-19,2,3,54,Female,1940-11-01,56,,,20.0,1391.585,28531.7,15.0,15.0,15.0,0.0,0.0,26930.8,31876.1,26367.4,22494.0
4916,4916,4079,52,monthly issuance,1993-11-03,1,3,52,Male,1939-01-09,57,,,17.0,1076.1176470588234,18894.0,14.0,14.0,14.0,0.0,0.0,22982.3,50823.2,87691.5,90058.5
4918,4918,4081,11,monthly issuance,1995-07-22,1,1,11,Male,1968-05-06,28,,,3.0,7560.566666666666,35159.7,0.0,0.0,0.0,0.0,0.0,40259.0,12478.0,,
5133,5133,4259,66,monthly issuance,1994-04-08,1,2,66,Female,1959-08-10,37,,,4.0,13563.125,99262.5,1.0,0.0,0.0,0.0,0.0,82153.9,79632.5,,
5134,5134,4260,56,monthly issuance,1993-10-14,1,3,58,Female,1967-07-19,29,,,8.0,2540.7625,21326.1,4.0,3.0,0.0,0.0,0.0,31136.4,28692.5,45898.4,
5224,5224,4337,29,monthly issuance,1993-11-16,1,3,29,Male,1949-07-24,47,,,12.0,4026.116666666667,49213.4,0.0,8.0,0.0,0.0,0.0,19986.6,55153.3,31569.0,900.0
5318,5318,4413,74,weekly issuance,1994-01-15,2,2,74,Male,1968-03-28,28,,,12.0,2520.391666666667,31344.7,7.0,8.0,0.0,0.0,0.0,39845.2,28393.3,32799.5,1100.0
5320,5320,4414,24,monthly issuance,1993-09-10,2,3,17,Female,1951-04-07,45,,,17.0,1087.035294117647,19479.6,13.0,12.0,0.0,0.0,0.0,22085.0,21218.2,12152.3,18803.7
5333,5333,4423,39,monthly issuance,1995-04-26,1,1,39,Female,1967-05-29,29,,,6.0,11092.183333333334,67453.1,0.0,0.0,0.0,0.0,0.0,45377.5,45594.8,900.0,
5337,5337,4427,32,monthly issuance,1993-06-07,2,3,1,Male,1961-05-02,35,,,15.0,991.0399999999998,15665.6,11.0,10.0,0.0,0.0,0.0,15597.8,23279.6,24525.6,37633.9
5364,5364,4447,62,monthly issuance,1996-06-16,2,0,62,Male,1964-03-14,32,,,4.0,6899.775,27799.1,0.0,2.0,0.0,0.0,0.0,35314.7,49433.8,,
5366,5366,4448,60,monthly issuance,1993-06-02,2,3,60,Female,1971-09-20,25,,,16.0,1769.94375,29019.1,0.0,10.0,0.0,0.0,0.0,29294.1,34567.3,54623.4,59990.8
5384,5384,4462,73,weekly issuance,1995-12-27,1,1,73,Male,1935-07-21,61,,,4.0,8497.8,34891.2,0.0,0.0,0.0,0.0,0.0,49551.0,9400.0,,
5399,5399,4476,24,monthly issuance,1994-11-10,1,2,24,Female,1972-12-27,24,,,22.0,765.9954545454547,17351.9,18.0,17.0,18.0,0.0,0.0,30744.7,38607.9,28395.5,27635.6
5433,5433,4503,50,monthly issuance,1995-01-03,1,1,50,Male,1975-09-24,21,junior,1995-10-24,12.0,4555.741666666667,54868.9,0.0,9.0,0.0,0.0,0.0,69499.8,29751.6,36645.8,
5517,5517,4576,27,monthly issuance,1993-06-05,1,3,57,Male,1964-03-13,32,,,11.0,471.2909090909095,33932.8,8.0,8.0,0.0,0.0,0.0,31601.7,26045.3,34660.8,
5521,5521,4580,9,monthly issuance,1994-08-27,1,2,9,Female,1973-05-15,23,,,11.0,2800.3,31303.3,5.0,6.0,0.0,0.0,0.0,25879.0,29213.2,35569.4,
5526,5526,4585,27,monthly issuance,1996-06-08,2,0,27,Male,1947-03-19,49,,,4.0,11137.25,44749.0,0.0,0.0,0.0,0.0,0.0,21989.3,19509.0,,
5606,5606,4650,4,monthly issuance,1995-10-15,1,1,4,Male,1980-08-06,16,,,10.0,1703.2099999999998,17232.1,5.0,5.0,0.0,0.0,0.0,16890.4,17120.1,29355.6,
5701,5701,4727,2,monthly issuance,1995-02-13,1,1,2,Female,1959-11-22,37,,,5.0,5796.68,65325.4,1.0,1.0,0.0,0.0,0.0,79584.4,82059.5,,
5760,5760,4774,66,monthly issuance,1994-01-14,2,2,66,Male,1948-05-08,48,,,17.0,788.8470588235296,37152.4,13.0,13.0,0.0,0.0,0.0,39833.5,25505.4,31231.6,36536.2
5826,5826,4825,15,monthly issuance,1994-06-04,2,2,15,Male,1968-09-09,28,,,14.0,552.4285714285714,24782.0,0.0,10.0,0.0,0.0,0.0,35336.0,26364.5,34635.5,38222.6
5858,5858,4851,52,monthly issuance,1996-02-04,2,0,52,Male,1952-07-17,44,,,6.0,20518.350000000002,123310.1,0.0,0.0,0.0,0.0,0.0,44187.7,20435.4,200.0,
5860,5860,4852,47,monthly issuance,1995-04-13,1,1,47,Male,1964-04-22,32,,,10.0,2694.13,27341.3,5.0,6.0,0.0,0.0,0.0,17050.2,32891.7,38190.2,
5911,5911,4894,14,monthly issuance,1993-06-20,1,3,14,Male,1935-10-03,61,,,4.0,13098.375,53193.5,0.0,0.0,0.0,0.0,0.0,47730.2,28000.1,,
5928,5928,4907,42,monthly issuance,1994-02-06,1,2,42,Female,1970-09-10,26,,,23.0,1159.5565217391304,27169.8,18.0,19.0,19.0,0.0,0.0,26658.8,25323.9,19283.4,40962.0
5965,5965,4937,12,monthly issuance,1993-02-20,1,3,50,Male,1951-04-10,45,,,16.0,-977.40625,38336.2,16.0,15.0,0.0,0.0,0.0,76760.5,17960.4,18012.1,31434.3
5977,5977,4948,43,monthly issuance,1995-07-29,1,1,43,Male,1979-05-31,17,,,15.0,2603.96,39959.4,4.0,4.0,0.0,0.0,0.0,11459.2,47199.6,38835.6,19700.0
6015,6015,4981,54,monthly issuance,1996-01-22,1,0,54,Male,1973-11-21,23,,,9.0,1396.4111111111108,36074.7,6.0,5.0,0.0,0.0,0.0,55504.8,47807.2,68265.6,
6033,6033,4994,1,weekly issuance,1996-01-11,1,0,1,Male,1966-05-27,30,,,6.0,8882.016666666666,53892.1,0.0,0.0,0.0,0.0,0.0,48062.7,47447.3,600.0,
6034,6034,4995,20,weekly issuance,1994-08-01,1,2,20,Male,1939-08-15,57,,,18.0,500.5666666666669,9710.2,0.0,10.0,0.0,1.0,0.0,38945.0,52467.8,47446.8,38748.7
6042,6042,5001,53,monthly issuance,1995-12-15,1,1,53,Male,1963-10-12,33,,,10.0,9405.01,106858.1,6.0,7.0,0.0,0.0,0.0,76387.9,103474.6,80232.5,
6077,6077,5033,54,monthly issuance,1995-08-03,1,1,54,Female,1980-04-30,16,,,11.0,1851.290909090909,27820.2,8.0,7.0,8.0,0.0,0.0,29729.5,26175.2,29614.9,
6115,6115,5066,13,weekly issuance,1995-08-27,1,1,13,Female,1953-12-25,43,,,5.0,11859.1,59695.5,0.0,0.0,0.0,0.0,0.0,58054.4,65337.0,,
6178,6178,5120,1,monthly issuance,1993-06-21,1,3,1,Female,1940-10-15,56,,,13.0,5552.799999999999,72386.4,5.0,6.0,0.0,0.0,0.0,41127.0,17719.5,58244.1,11600.0
6185,6185,5126,58,monthly issuance,1995-04-03,2,1,58,Female,1948-03-05,48,,,9.0,1390.611111111111,21281.5,5.0,5.0,0.0,0.0,0.0,28130.9,30517.6,43804.2,
6299,6299,5213,1,monthly issuance,1995-08-18,1,1,1,Male,1936-08-09,60,,,8.0,5682.775,46462.2,0.0,3.0,0.0,0.0,0.0,55460.1,22045.2,51565.3,
6301,6301,5215,55,monthly issuance,1993-07-01,1,3,55,Female,1949-03-08,47,,,13.0,2670.5692307692307,34917.4,8.0,9.0,8.0,0.0,0.0,34143.2,30840.5,21307.2,15687.0
6317,6317,5228,77,issuance after transaction,1993-06-23,2,3,77,Female,1957-01-27,39,,,12.0,3645.908333333333,94431.9,0.0,8.0,0.0,0.0,0.0,55493.3,95818.8,74804.0,1000.0
