loan_id,amount,duration,payments,status,loan_age,frequency,num_clients,account_age,sex,age,num_salaries,average_salary,recent_balance,household_payments,insurrance_payments,sanction_payment_counter,old_age_pensions,month_balance,3_month_balance,6_month_balance,12_month_balance,code,name,region,population,munip<499,munip500-1999,munip2000-9999,munip>10000,cities,urbanization,unemployment96,entrepreneurs/1000,crimegrowth,unempgrowth,code_branch,name_branch,region_branch,population_branch,munip<499_branch,munip500-1999_branch,munip2000-9999_branch,munip>10000_branch,cities_branch,urbanization_branch,unemployment96_branch,entrepreneurs/1000_branch,crimegrowth_branch,unempgrowth_branch
5725,444864,48,9268,1,0,1,2,1,1,32,11.0,3722.1727272727276,41743.9,6.0,0.0,0.0,0.0,52157.9,30488.6,38283.1,,64,3,3,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
6283,85632,48,1784,1,0,1,1,1,0,47,16.0,7277.418750000001,117238.7,0.0,0.0,0.0,0.0,53181.9,59928.4,45906.2,55642.6,64,3,3,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
6995,96168,12,8014,1,0,0,1,1,0,24,20.0,150.4649999999994,3609.3,0.0,0.0,0.0,0.0,23184.8,44952.8,28678.9,41738.5,64,3,3,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
6585,372120,60,6202,1,0,1,2,1,1,51,21.0,1759.7809523809524,46580.5,0.0,0.0,0.0,0.0,60684.5,122824.9,122466.1,49255.7,64,3,3,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
6073,276300,60,4605,1,0,1,1,1,1,20,16.0,1692.38125,27578.1,11.0,0.0,0.0,0.0,31737.0,27231.2,28424.3,30495.4,64,3,3,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999,64,2,2,197099,29,41,10,2,10,74.7,2.31,145,0.9511596788581623,1.4437499999999999
7249,69360,48,1445,1,2,1,1,3,1,55,14.0,1836.4285714285713,38665.0,0.0,0.0,0.0,0.0,44745.5,38281.2,48063.9,43918.5,46,2,2,112709,48,20,7,3,10,73.5,2.31,117,0.9173090399439383,1.2905027932960893,11,3,3,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111
6678,80340,12,6695,1,2,1,2,3,0,20,10.0,8824.26,89342.6,0.0,0.0,0.0,0.0,46734.8,23455.0,100051.1,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,11,3,3,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111
6876,86616,12,7218,1,3,1,1,3,1,35,3.0,8182.366666666666,37253.1,0.0,0.0,0.0,0.0,38317.7,12706.0,,,11,1,1,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111,11,3,3,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111
5189,149040,48,3105,1,2,1,1,3,0,28,9.0,2092.6111111111113,19033.5,5.0,0.0,0.0,0.0,37087.5,24346.1,40904.8,,11,1,1,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111,11,3,3,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111
5549,50460,60,841,1,2,1,1,3,0,49,8.0,3180.75,41531.0,5.0,0.0,0.0,0.0,44537.1,42762.6,50138.2,,11,1,1,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111,11,3,3,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111
7176,260028,36,7223,1,1,1,1,3,1,20,22.0,3165.95,69850.9,18.0,0.0,0.0,0.0,75950.2,75522.9,47140.7,58655.9,11,1,1,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111,11,3,3,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111
5805,137904,24,5746,-1,1,1,1,1,1,28,3.0,7560.566666666666,35159.7,0.0,0.0,0.0,0.0,40259.0,12478.0,,,11,1,1,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111,11,3,3,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111
6996,126600,24,5275,1,1,1,1,3,1,57,22.0,38.57272727272721,48720.6,0.0,0.0,0.0,0.0,60182.7,57330.0,68046.5,61759.4,47,5,2,162580,83,26,5,1,6,72.8,1.81,111,0.8899490047705215,1.1986754966887418,11,3,3,75637,35,36,9,0,7,36.5,0.59,154,1.0155395683453237,1.3111111111111111
6863,127080,60,2118,1,3,1,1,3,1,60,5.0,3894.56,20272.8,1.0,1.0,0.0,0.0,34790.4,27619.5,,,45,6,2,77917,85,19,6,1,5,53.5,2.89,132,1.0201923076923076,1.2675438596491229,45,4,1,77917,85,19,6,1,5,53.5,2.89,132,1.0201923076923076,1.2675438596491229
6668,74736,36,2076,1,2,1,1,3,1,31,12.0,994.308333333333,33243.7,8.0,0.0,0.0,0.0,56071.9,47789.7,57386.6,21312.0,45,6,2,77917,85,19,6,1,5,53.5,2.89,132,1.0201923076923076,1.2675438596491229,45,4,1,77917,85,19,6,1,5,53.5,2.89,132,1.0201923076923076,1.2675438596491229
5160,204000,60,3400,1,1,1,1,2,1,52,11.0,2206.790909090909,45077.7,8.0,0.0,0.0,0.0,46347.3,49475.2,61087.8,,45,6,2,77917,85,19,6,1,5,53.5,2.89,132,1.0201923076923076,1.2675438596491229,45,4,1,77917,85,19,6,1,5,53.5,2.89,132,1.0201923076923076,1.2675438596491229
7192,115992,36,3222,1,2,0,1,3,1,59,20.0,473.475,9669.5,16.0,0.0,0.0,0.0,60705.4,11306.1,12992.6,25220.3,31,7,0,51313,34,12,3,1,4,59.2,4.2,108,1.0933734939759037,1.1931818181818181,45,4,1,77917,85,19,6,1,5,53.5,2.89,132,1.0201923076923076,1.2675438596491229
7138,60000,60,1000,1,1,1,1,3,1,50,21.0,433.9333333333333,16878.6,17.0,0.0,0.0,0.0,21493.3,22919.2,17033.9,27090.2,45,6,2,77917,85,19,6,1,5,53.5,2.89,132,1.0201923076923076,1.2675438596491229,72,5,4,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737
6072,193968,36,5388,1,2,2,1,3,1,24,6.0,13330.0,80780.0,0.0,0.0,0.0,0.0,50920.4,43335.3,800.0,,72,8,5,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737,72,5,4,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737
5145,309552,48,6449,1,1,1,1,1,1,61,7.0,1772.2000000000003,51799.4,4.0,0.0,0.0,0.0,60112.2,56822.2,69943.7,,72,8,5,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737,72,5,4,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737
7243,217152,36,6032,1,1,1,1,1,1,22,10.0,4187.93,42279.3,6.0,0.0,0.0,0.0,35225.6,37950.2,55488.3,,72,8,5,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737,72,5,4,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737
6540,309600,48,6450,1,1,0,1,1,1,21,11.0,3189.8272727272724,35488.1,0.0,0.0,0.0,0.0,50492.9,47879.8,50863.1,,72,8,5,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737,72,5,4,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737
5706,161496,36,4486,1,0,0,1,2,1,25,20.0,-86.625,29371.5,19.0,0.0,0.0,0.0,31993.1,17741.3,37033.9,17694.4,72,8,5,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737,72,5,4,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737
5136,187104,24,7796,1,0,1,1,0,0,19,4.0,33269.425,133377.7,0.0,0.0,0.0,0.0,50052.7,87857.5,,,72,8,5,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737,72,5,4,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737
6865,29448,12,2454,-1,0,1,1,0,1,49,3.0,6966.866666666666,43790.6,0.0,0.0,0.0,0.0,42775.3,22890.0,,,72,8,5,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737,72,5,4,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737
6818,155616,48,3242,1,0,1,2,1,0,25,22.0,1950.0954545454545,60694.1,18.0,0.0,0.0,0.0,60244.2,52081.3,70674.2,61170.1,72,8,5,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737,72,5,4,226122,32,50,7,4,4,62.6,4.79,110,0.9520264681555005,1.2605263157894737
5325,105804,36,2939,1,3,1,1,3,0,56,6.0,5548.783333333333,34292.7,2.0,0.0,0.0,0.0,39291.2,49462.7,1000.0,,14,9,6,177686,69,27,10,1,9,74.8,1.71,135,0.9532101756511204,1.204225352112676,12,6,3,107870,84,29,6,1,6,58.0,4.31,137,1.0168243953732914,1.1253263707571801
6316,76908,12,6409,-1,2,1,1,3,0,50,15.0,-412.62666666666723,14888.6,0.0,0.0,0.0,0.0,67926.7,73791.2,93467.5,74485.3,4,10,1,149893,63,29,6,2,6,67.4,5.05,109,1.1235697940503433,1.0883620689655173,12,6,3,107870,84,29,6,1,6,58.0,4.31,137,1.0168243953732914,1.1253263707571801
6004,143904,24,5996,1,2,1,1,3,1,45,16.0,-977.40625,38336.2,16.0,0.0,0.0,0.0,76760.5,17960.4,18012.1,31434.3,50,11,2,102609,75,33,2,3,6,52.0,5.45,94,1.0051813471502589,1.1283643892339545,12,6,3,107870,84,29,6,1,6,58.0,4.31,137,1.0168243953732914,1.1253263707571801
6461,74124,36,2059,1,0,0,1,1,0,57,17.0,1485.764705882353,25658.0,11.0,11.0,0.0,0.0,49076.4,31037.9,31315.7,29100.0,12,12,1,107870,84,29,6,1,6,58.0,4.31,137,1.0168243953732914,1.1253263707571801,12,6,3,107870,84,29,6,1,6,58.0,4.31,137,1.0168243953732914,1.1253263707571801
7271,392460,60,6541,1,0,1,2,2,0,16,22.0,-296.5863636363637,53245.1,18.0,0.0,0.0,0.0,45123.6,58022.4,32393.5,49870.7,12,12,1,107870,84,29,6,1,6,58.0,4.31,137,1.0168243953732914,1.1253263707571801,12,6,3,107870,84,29,6,1,6,58.0,4.31,137,1.0168243953732914,1.1253263707571801
7004,331560,60,5526,1,1,1,2,3,1,16,18.0,1383.7833333333335,47992.1,14.0,0.0,0.0,0.0,34732.7,54490.0,41564.0,49334.0,2,13,1,88884,80,26,6,2,5,46.7,1.85,132,1.23853635942566,1.1077844311377247,12,6,3,107870,84,29,6,1,6,58.0,4.31,137,1.0168243953732914,1.1253263707571801
5997,117024,24,4876,1,3,1,1,3,1,61,4.0,13098.375,53193.5,0.0,0.0,0.0,0.0,47730.2,28000.1,,,14,9,6,177686,69,27,10,1,9,74.8,1.71,135,0.9532101756511204,1.204225352112676,14,7,5,177686,69,27,10,1,9,74.8,1.71,135,0.9532101756511204,1.204225352112676
6734,173016,36,4806,1,0,0,1,1,0,51,10.0,11363.16,113931.6,0.0,0.0,0.0,0.0,69590.6,70489.2,37755.6,,14,9,6,177686,69,27,10,1,9,74.8,1.71,135,0.9532101756511204,1.204225352112676,14,7,5,177686,69,27,10,1,9,74.8,1.71,135,0.9532101756511204,1.204225352112676
5611,321180,60,5353,1,0,1,2,0,1,60,7.0,2726.6428571428573,51906.5,4.0,0.0,0.0,0.0,51840.3,89519.3,57657.7,,14,9,6,177686,69,27,10,1,9,74.8,1.71,135,0.9532101756511204,1.204225352112676,14,7,5,177686,69,27,10,1,9,74.8,1.71,135,0.9532101756511204,1.204225352112676
7101,421008,48,8771,1,0,1,1,0,1,43,9.0,1060.111111111111,31168.0,6.0,0.0,0.0,0.0,35615.0,33925.9,59725.9,,14,9,6,177686,69,27,10,1,9,74.8,1.71,135,0.9532101756511204,1.204225352112676,14,7,5,177686,69,27,10,1,9,74.8,1.71,135,0.9532101756511204,1.204225352112676
7240,274740,60,4579,1,3,0,1,3,1,18,6.0,6752.150000000001,41112.9,1.0,0.0,0.0,0.0,42171.1,59527.1,600.0,,63,14,3,86513,38,36,5,1,5,50.5,4.52,110,0.9346991037131881,1.1926121372031662,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6460,48672,36,1352,1,2,1,2,3,0,48,13.0,1755.7384615384615,23124.6,9.0,9.0,0.0,0.0,25390.2,25016.2,19301.8,16747.0,55,15,3,157042,49,70,18,0,9,33.9,2.43,111,1.0642251981415687,1.2925531914893618,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6820,38148,12,3179,1,3,1,1,3,0,31,5.0,6827.360000000001,56840.8,1.0,2.0,0.0,0.0,40520.6,55461.2,,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
4959,80952,24,3373,1,2,1,2,3,1,51,10.0,2675.52,27855.2,5.0,0.0,0.0,0.0,31839.5,21788.6,45289.5,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6499,80952,24,3373,1,2,1,2,3,1,51,10.0,2766.37,28763.7,5.0,0.0,0.0,0.0,33136.2,21179.1,45289.5,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
5479,24516,12,2043,1,2,1,1,3,1,38,10.0,7845.62,78656.2,0.0,0.0,0.0,0.0,78679.5,22652.5,39356.2,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6736,288360,60,4806,1,2,2,1,2,1,61,3.0,14171.066666666666,43313.2,0.0,0.0,0.0,0.0,31366.7,800.0,,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
7220,131292,36,3647,1,2,0,1,3,1,42,13.0,-189.36153846153823,31361.3,10.0,0.0,0.0,0.0,21216.6,37802.6,24212.6,50917.1,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6919,120888,36,3358,1,2,0,1,3,0,52,16.0,3213.4000000000005,52014.4,12.0,0.0,0.0,0.0,30863.4,26604.5,37626.7,55587.8,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6038,323472,48,6739,1,2,1,1,3,0,56,13.0,5552.799999999999,72386.4,5.0,0.0,0.0,0.0,41127.0,17719.5,58244.1,11600.0,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6229,11736,24,489,1,2,1,1,3,1,58,17.0,1522.6117647058825,26984.4,13.0,13.0,0.0,0.0,33068.0,34013.4,34445.8,43937.1,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
7142,482940,60,8049,-1,2,1,1,3,0,20,15.0,233.49333333333342,18439.4,11.0,11.0,0.0,0.0,28842.6,18893.9,30212.0,57707.2,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
5576,31248,12,2604,1,2,1,1,3,0,57,18.0,-566.3166666666665,53922.3,0.0,0.0,0.0,0.0,49577.6,93831.7,72533.8,94483.8,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
5739,76380,12,6365,1,1,1,1,2,0,39,8.0,2758.8999999999996,23171.2,4.0,4.0,0.0,0.0,22675.8,27412.0,29943.2,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6244,270648,36,7518,-1,1,0,1,2,1,59,9.0,944.7555555555559,50996.5,6.0,0.0,0.0,0.0,82970.4,28184.8,77493.8,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6960,76416,24,3184,1,1,1,2,3,1,59,22.0,-361.0499999999996,12262.9,18.0,0.0,0.0,0.0,10398.7,9255.0,41374.3,22365.7,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
5724,316140,60,5269,-1,1,1,1,3,1,28,22.0,142.06363636363633,12826.4,18.0,0.0,0.0,0.0,19493.2,22407.8,11787.0,10391.6,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
7241,168984,24,7041,-1,1,1,1,3,1,20,18.0,-2571.8388888888885,24304.3,0.0,0.0,2.0,0.0,7506.0,97986.5,38279.2,71269.7,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6546,31728,24,1322,1,1,1,2,3,1,46,18.0,964.3166666666665,32802.7,14.0,0.0,0.0,0.0,30225.2,38531.0,33052.9,42978.7,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
5740,18564,12,1547,1,1,1,1,2,0,33,4.0,10766.425,43265.7,0.0,0.0,0.0,0.0,39429.4,25503.5,,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
7008,36168,12,3014,1,1,1,1,1,1,35,6.0,1792.8499999999997,29138.1,2.0,3.0,0.0,0.0,29629.2,63482.1,18381.0,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
7057,231696,36,6436,1,1,0,2,2,1,23,15.0,-86.82000000000019,39874.7,11.0,12.0,0.0,0.0,57438.2,52487.7,49885.9,96380.6,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
7304,419880,60,6998,1,1,0,2,1,0,51,4.0,-9619.400000000001,24704.4,1.0,0.0,0.0,0.0,104039.9,88809.0,,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6185,31176,24,1299,1,1,1,1,1,1,28,5.0,4105.82,50647.1,1.0,0.0,0.0,0.0,63249.6,55879.7,,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6785,125340,60,2089,1,1,0,1,2,1,52,15.0,1233.8,19007.0,13.0,0.0,0.0,0.0,62078.7,53502.4,36485.5,47770.4,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6698,247728,48,5161,1,0,0,1,1,1,17,7.0,7478.814285714286,52551.7,3.0,0.0,0.0,0.0,46371.1,38591.1,37366.7,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6063,320976,48,6687,-1,0,1,1,1,1,60,8.0,5682.775,46462.2,0.0,0.0,0.0,0.0,55460.1,22045.2,51565.3,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
5429,20196,36,561,1,0,1,1,1,1,25,17.0,3852.0352941176475,65684.6,13.0,0.0,0.0,0.0,77158.8,62799.2,65731.2,44048.2,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
6012,258444,36,7179,1,0,0,1,0,1,30,6.0,8882.016666666666,53892.1,0.0,0.0,0.0,0.0,48062.7,47447.3,600.0,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
5385,71460,36,1985,1,0,1,2,0,0,16,7.0,6994.785714285715,49663.5,3.0,0.0,0.0,0.0,56163.4,61134.1,34530.1,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
7194,68832,36,1912,1,0,1,1,1,1,37,10.0,3193.87,51540.7,6.0,0.0,0.0,0.0,44428.2,57532.2,61939.6,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
5375,101520,12,8460,1,0,1,1,0,0,20,8.0,2041.9250000000002,16735.4,4.0,0.0,0.0,0.0,18705.5,39064.2,24614.6,,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
5635,77184,36,2144,1,0,1,1,1,0,42,18.0,1235.888888888889,22446.0,0.0,0.0,0.0,0.0,24857.9,91654.5,23734.7,76444.6,1,4,4,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552,1,8,6,1204953,0,0,0,1,1,100.0,0.43,167,1.15675152024464,1.4827586206896552
